Time,Source,Target,Amount,Location,Type,Labels
79,S10074,T1004,39.97,L102,TP116,2
80,S10075,T1019,7.71,L107,TP108,2
81,S10076,T1000,46.24,L100,TP100,2
82,S10073,T1020,34.02,L108,TP115,0
83,S10077,T1008,11.92,L100,TP105,2
84,S10078,T1008,11.92,L100,TP105,2
85,S10079,T1010,30.0,L102,TP107,0
86,S10080,T1021,13.85,L109,TP117,2
87,S10081,T1000,35.09,L100,TP100,2
88,S10078,T1008,11.92,L100,TP105,2
89,S10082,T1008,11.94,L100,TP105,2
90,S10082,T1008,11.99,L100,TP105,2
91,S10083,T1022,2.27,L102,TP118,2
92,S10082,T1008,11.99,L100,TP105,2
93,S10084,T1008,90.0,L100,TP105,2
94,S10082,T1008,11.98,L100,TP105,2
95,S10085,T1008,11.91,L100,TP105,2
96,S10086,T1004,546.11,L102,TP114,2
97,S10087,T1003,40.7,L100,TP100,2
98,S10088,T1004,8.92,L102,TP119,0
99,S10089,T1000,122.82,L100,TP100,2
100,S10090,T1000,88.1,L100,TP100,2
101,S10091,T1023,154.8,L100,TP120,0
102,S10091,T1023,456.0,L100,TP120,0
103,S10092,T1000,24.32,L100,TP100,2
104,S10093,T1024,10.8,L102,TP121,2
105,S10094,T1010,15.0,L102,TP107,2
106,S10095,T1004,0.0,L102,TP122,2
107,S10096,T1003,19.83,L100,TP100,2
108,S10097,T1000,26.69,L100,TP100,2
109,S10098,T1008,11.98,L100,TP105,2
110,S10099,T1003,79.61,L100,TP100,2
111,S10044,T1003,14.3,L100,TP100,2
112,S10100,T1003,28.19,L100,TP100,2
113,S10101,T1002,56.0,L100,TP102,2
114,S10102,T1010,11.0,L102,TP107,2
115,S10103,T1025,29.96,L102,TP105,2
116,S10104,T1022,3.15,L102,TP118,2
117,S10105,T1022,2.23,L102,TP118,2
118,S10106,T1022,4.09,L102,TP118,2
119,S10107,T1010,133.0,L102,TP107,2
120,S10108,T1010,137.0,L102,TP107,1
121,S10108,T1010,131.0,L102,TP107,0
122,S10109,T1002,113.3,L100,TP102,2
123,S10110,T1003,600.0,L100,TP100,2
124,S10111,T1003,91.0,L100,TP100,2
125,S10112,T1000,83.78,L100,TP100,2
126,S10113,T1022,10.55,L102,TP118,2
127,S10114,T1022,9.0,L102,TP118,2
128,S10115,T1022,1.78,L102,TP118,2
129,S10082,T1008,11.95,L100,TP105,2
130,S10082,T1008,11.99,L100,TP105,2
131,S10116,T1026,108.4,L110,TP100,2
132,S10027,T1002,58.0,L100,TP102,2
133,S10117,T1027,176.5,L106,TP102,2
134,S10042,T1002,50.0,L100,TP102,2
135,S10118,T1008,30.0,L100,TP105,2
136,S10027,T1002,57.0,L100,TP102,2
137,S10119,T1003,19.95,L100,TP100,2
138,S10006,T1000,49.99,L100,TP100,2
139,S10120,T1002,54.0,L100,TP102,2
140,S10121,T1028,3906.1,L110,TP118,2
141,S10122,T1000,141.29,L100,TP100,2
142,S10123,T1003,21.63,L100,TP100,0
143,S10123,T1003,21.67,L100,TP100,1
144,S10030,T1002,54.0,L100,TP102,2
145,S10124,T1029,294.67,L110,TP102,2
146,S10125,T1029,68.42,L110,TP102,2
147,S10126,T1000,22.07,L100,TP100,2
148,S10127,T1030,0.01,L100,TP103,2
149,S10128,T1031,349.25,L110,TP123,2
150,S10129,T1000,93.0,L100,TP100,2
151,S10130,T1003,65.96,L100,TP100,2
152,S10131,T1032,183.98,L102,TP123,2
153,S10132,T1002,54.0,L100,TP102,2
154,S10133,T1011,25.76,L102,TP108,2
155,S10134,T1003,199.95,L100,TP100,2
156,S10135,T1003,185.69,L100,TP100,2
157,S10136,T1013,7.1,L102,TP108,2
158,S10137,T1002,56.0,L100,TP102,2
159,S10138,T1033,61.8,L106,TP124,2
160,S10139,T1003,59.97,L100,TP100,2
161,S10140,T1000,24.09,L100,TP100,1
162,S10140,T1000,24.0,L100,TP100,0
163,S10137,T1002,56.0,L100,TP102,2
164,S10137,T1002,53.0,L100,TP102,2
165,S10141,T1000,32.81,L100,TP100,2
166,S10142,T1019,12.0,L107,TP108,2
167,S10143,T1022,0.0,L102,TP118,2
168,S10144,T1011,4.79,L102,TP108,0
169,S10144,T1011,4.77,L102,TP108,0
170,S10145,T1034,461.98,L110,TP120,2
171,S10122,T1000,2553.47,L100,TP100,2
172,S10146,T1035,11.91,L111,TP117,2
173,S10029,T1000,30.0,L100,TP100,0
174,S10029,T1000,10.0,L100,TP100,0
175,S10147,T1036,3.0,L102,TP125,0
176,S10148,T1000,149.38,L112,TP100,2
177,S10149,T1003,6.0,L112,TP100,2
178,S10150,T1003,9.0,L112,TP100,2
179,S10151,T1003,1145.8,L100,TP100,2
180,S10152,T1034,361.26,L110,TP120,2
181,S10153,T1019,12.38,L107,TP108,2
182,S10154,T1000,24.3,L100,TP100,2
183,S10155,T1037,4.0,L100,TP126,2
184,S10033,T1000,177.48,L100,TP100,0
185,S10033,T1000,177.47,L100,TP100,0
186,S10156,T1003,1195.0,L100,TP100,2
187,S10157,T1037,9.0,L100,TP126,2
188,S10158,T1038,3.45,L102,TP125,2
189,S10159,T1003,99.8,L100,TP100,2
190,S10160,T1013,60.0,L102,TP108,2
191,S10161,T1022,0.0,L102,TP118,2
192,S10162,T1039,9.0,L100,TP117,2
193,S10163,T1009,49.89,L104,TP106,2
194,S10164,T1009,107.0,L104,TP106,2
195,S10085,T1008,11.98,L100,TP105,2
196,S10165,T1022,7.0,L102,TP118,2
197,S10085,T1008,11.9,L100,TP105,2
198,S10166,T1013,10.65,L102,TP108,2
199,S10063,T1038,9.21,L102,TP125,0
200,S10167,T1000,29.0,L100,TP100,2
201,S10063,T1040,89.95,L102,TP112,0
202,S10063,T1018,17.38,L102,TP113,0
203,S10168,T1002,57.0,L100,TP102,2
204,S10169,T1003,184.61,L100,TP100,2
205,S10063,T1038,78.57,L102,TP125,0
206,S10022,T1004,29.43,L102,TP114,0
207,S10170,T1003,79.94,L100,TP100,2
208,S10043,T1011,180.0,L102,TP108,0
209,S10171,T1003,19.69,L100,TP100,2
210,S10158,T1013,5.0,L102,TP108,2
211,S10172,T1002,59.0,L100,TP102,2
212,S10173,T1013,9.68,L102,TP108,2
213,S10174,T1032,320.91,L102,TP123,0
214,S10175,T1013,3.0,L102,TP108,2
215,S10176,T1013,7.65,L102,TP108,2
216,S10177,T1003,108.0,L100,TP100,2
217,S10178,T1013,49.44,L102,TP108,2
218,S10040,T1000,0.23,L100,TP100,2
219,S10179,T1023,32.0,L100,TP120,0
220,S10063,T1038,4.64,L102,TP125,0
221,S10180,T1000,31.44,L100,TP100,2
222,S10181,T1000,2.9,L100,TP100,2
223,S10182,T1013,19.42,L102,TP108,0
224,S10183,T1013,5.35,L102,TP108,2
225,S10184,T1013,8.2,L102,TP108,2
226,S10185,T1019,8.0,L107,TP108,2
227,S10186,T1037,168.51,L100,TP126,0
228,S10187,T1004,35.13,L102,TP120,2
229,S10188,T1004,17.54,L102,TP124,2
230,S10063,T1038,42.23,L102,TP125,0
231,S10172,T1002,59.0,L100,TP102,2
232,S10189,T1013,7.88,L102,TP108,2
233,S10063,T1038,114.81,L102,TP125,0
234,S10063,T1018,9.4,L102,TP113,0
235,S10190,T1003,80.0,L100,TP100,2
236,S10191,T1003,7.77,L100,TP100,2
237,S10144,T1019,4.37,L107,TP108,0
238,S10144,T1019,4.68,L107,TP108,0
239,S10192,T1022,40.0,L102,TP118,2
240,S10193,T1004,172.21,L102,TP127,0
241,S10194,T1041,78.0,L100,TP102,2
242,S10195,T1013,9.3,L102,TP108,2
243,S10196,T1013,16.5,L102,TP108,2
244,S10064,T1013,2.0,L102,TP108,0
245,S10042,T1002,50.0,L100,TP102,2
246,S10197,T1003,6.26,L100,TP100,2
247,S10198,T1013,10.17,L102,TP108,2
248,S10199,T1013,0.0,L102,TP108,2
249,S10200,T1038,20.29,L102,TP125,2
250,S10201,T1000,13.93,L100,TP100,2
251,S10010,T1000,43.02,L100,TP100,2
252,S10202,T1025,19.4,L102,TP112,2
253,S10203,T1003,40.29,L100,TP100,2
254,S10204,T1025,2600.0,L102,TP128,2
255,S10205,T1000,46.55,L100,TP100,2
256,S10063,T1038,13.75,L102,TP125,0
257,S10206,T1013,6.8,L102,TP108,0
258,S10206,T1013,6.7,L102,TP108,0
259,S10207,T1013,5.0,L102,TP108,2
260,S10208,T1042,159.93,L113,TP112,0
261,S10209,T1023,52.23,L100,TP120,2
262,S10206,T1043,16.21,L114,TP125,0
263,S10210,T1003,10.4,L100,TP100,2
264,S10211,T1000,113.05,L100,TP100,2
265,S10174,T1032,320.99,L102,TP123,0
266,S10063,T1038,31.15,L115,TP125,0
267,S10212,T1039,0.0,L100,TP117,2
268,S10213,T1000,40.32,L115,TP100,0
269,S10214,T1000,18.8,L115,TP100,2
270,S10215,T1039,4.0,L100,TP117,2
271,S10216,T1009,259.1,L104,TP106,2
272,S10217,T1009,165.0,L104,TP106,2
273,S10218,T1009,60.3,L104,TP106,2
274,S10219,T1009,46.66,L104,TP106,2
275,S10220,T1012,121.99,L105,TP106,2
276,S10221,T1012,27.83,L105,TP106,2
277,S10222,T1012,4.98,L105,TP106,2
278,S10223,T1012,16.04,L105,TP106,2
279,S10224,T1012,800.0,L105,TP106,2
280,S10225,T1012,16.5,L105,TP106,2
281,S10226,T1012,21.05,L105,TP106,2
282,S10227,T1009,18.1,L104,TP106,2
283,S10228,T1009,19.7,L104,TP106,2
284,S10229,T1012,89.0,L105,TP106,2
285,S10230,T1000,14.99,L100,TP100,0
286,S10230,T1000,14.94,L100,TP100,1
287,S10231,T1009,20.61,L104,TP106,2
288,S10218,T1009,42.7,L104,TP106,2
289,S10221,T1009,167.0,L104,TP106,2
290,S10232,T1022,4.0,L102,TP118,2
291,S10233,T1008,11.92,L100,TP105,2
292,S10234,T1004,12.39,L102,TP109,2
293,S10233,T1008,11.96,L100,TP105,2
294,S10147,T1036,2.0,L102,TP125,0
295,S10235,T1000,41.95,L100,TP100,2
296,S10236,T1023,4.0,L100,TP120,2
297,S10237,T1022,1.1,L102,TP118,2
298,S10238,T1036,8.0,L102,TP125,0
299,S10239,T1002,57.0,L100,TP102,2
300,S10240,T1029,73.81,L110,TP102,2
301,S10241,T1044,30.92,L106,TP108,2
302,S10242,T1045,6.16,L106,TP108,2
303,S10243,T1046,256.0,L106,TP108,2
304,S10244,T1046,70.0,L106,TP108,2
305,S10245,T1046,3800.0,L106,TP108,2
306,S10246,T1046,156.0,L106,TP108,2
307,S10247,T1045,166.89,L106,TP108,2
308,S10248,T1003,0.0,L100,TP100,0
309,S10249,T1003,56.24,L100,TP100,0
310,S10249,T1003,56.25,L100,TP100,0
311,S10250,T1045,40.0,L106,TP108,2
312,S10251,T1045,10.21,L106,TP108,2
313,S10252,T1000,112.94,L100,TP100,2
314,S10253,T1015,2.0,L100,TP110,2
315,S10254,T1000,30.77,L100,TP100,2
316,S10255,T1000,50.4,L100,TP100,2
317,S10082,T1008,11.95,L100,TP105,2
318,S10082,T1008,11.96,L100,TP105,2
319,S10082,T1008,11.97,L100,TP105,2
320,S10256,T1000,34.08,L100,TP100,2
321,S10257,T1023,2.0,L100,TP120,2
322,S10258,T1037,2.0,L100,TP126,2
323,S10259,T1003,16.99,L100,TP100,2
324,S10123,T1000,119.73,L100,TP100,0
325,S10123,T1000,119.75,L100,TP100,1
326,S10260,T1003,83.0,L100,TP100,2
327,S10261,T1000,90.4,L100,TP100,2
328,S10262,T1000,57.33,L100,TP100,2
329,S10263,T1037,0.0,L100,TP126,2
330,S10264,T1000,165.79,L100,TP100,2
331,S10265,T1003,329.9,L100,TP100,2
332,S10266,T1047,81.56,L100,TP116,0
333,S10266,T1047,81.52,L100,TP116,1
334,S10266,T1048,166.75,L100,TP116,0
335,S10266,T1049,107.14,L100,TP129,0
336,S10266,T1050,204.82,L116,TP116,0
337,S10267,T1003,59.3,L100,TP100,2
338,S10268,T1000,8.98,L100,TP100,2
339,S10269,T1000,177.21,L100,TP100,2
340,S10270,T1051,6.5,L117,TP130,0
341,S10270,T1052,12.0,L118,TP125,0
342,S10270,T1052,12.1,L118,TP125,0
343,S10270,T1052,12.8,L118,TP125,0
344,S10271,T1000,23.82,L100,TP100,1
345,S10271,T1000,23.87,L100,TP100,0
346,S10272,T1003,99.7,L100,TP100,2
347,S10027,T1002,51.0,L100,TP102,2
348,S10273,T1003,99.0,L100,TP100,2
349,S10274,T1037,30.0,L100,TP126,2
350,S10275,T1032,269.97,L102,TP123,2
351,S10233,T1008,11.92,L100,TP105,2
352,S10276,T1000,404.24,L100,TP100,2
353,S10277,T1000,33.95,L100,TP100,2
354,S10278,T1003,27.14,L100,TP100,2
355,S10206,T1019,23.56,L107,TP108,0
356,S10206,T1019,23.56,L107,TP108,0
357,S10279,T1037,0.0,L100,TP126,0
358,S10280,T1014,6.0,L100,TP109,2
359,S10281,T1000,7.41,L100,TP100,2
360,S10282,T1003,30.25,L100,TP100,2
361,S10283,T1023,0.0,L100,TP120,0
362,S10283,T1023,0.0,L100,TP120,0
363,S10284,T1034,126.14,L110,TP120,2
364,S10274,T1037,9.0,L100,TP126,2
365,S10285,T1000,546.82,L100,TP100,2
366,S10286,T1000,79.2,L100,TP100,2
367,S10287,T1023,0.0,L100,TP120,0
368,S10288,T1023,0.0,L100,TP120,0
369,S10289,T1023,0.0,L100,TP120,0
370,S10290,T1037,8.0,L100,TP126,2
371,S10291,T1003,254.6,L100,TP100,2
372,S10123,T1003,10.23,L100,TP100,1
373,S10123,T1003,10.28,L100,TP100,0
374,S10292,T1045,14.0,L106,TP108,2
375,S10293,T1045,1.0,L106,TP108,2
376,S10294,T1044,37.32,L106,TP108,2
377,S10295,T1045,1.0,L106,TP108,2
378,S10296,T1003,36.8,L100,TP100,2
379,S10297,T1045,87.01,L106,TP108,2
380,S10298,T1053,12.87,L106,TP125,2
381,S10299,T1023,0.0,L100,TP120,2
382,S10270,T1054,149.19,L119,TP131,0
383,S10300,T1000,37.46,L100,TP100,2
384,S10301,T1019,13.97,L107,TP108,2
385,S10302,T1003,11.84,L100,TP100,2
386,S10279,T1055,0.0,L100,TP126,0
387,S10303,T1037,9.0,L100,TP126,2
388,S10304,T1023,0.0,L100,TP120,0
389,S10305,T1023,0.0,L100,TP120,0
390,S10306,T1000,129.46,L100,TP100,2
391,S10307,T1003,92.0,L100,TP100,2
392,S10308,T1037,1.0,L100,TP126,2
393,S10308,T1037,8.0,L100,TP126,2
394,S10309,T1003,200.0,L100,TP100,2
395,S10078,T1008,11.96,L100,TP105,2
396,S10040,T1000,6.0,L100,TP100,2
397,S10310,T1000,61.3,L100,TP100,2
398,S10078,T1008,11.91,L100,TP105,2
399,S10311,T1000,16.38,L100,TP100,2
400,S10186,T1056,77.3,L102,TP123,0
401,S10312,T1056,77.33,L102,TP123,1
402,S10313,T1056,77.3,L102,TP123,1
403,S10313,T1056,77.34,L102,TP123,0
404,S10313,T1056,67.89,L102,TP123,1
405,S10314,T1003,50.7,L100,TP100,2
406,S10078,T1008,11.99,L100,TP105,2
407,S10266,T1057,171.55,L120,TP132,0
408,S10315,T1003,60.0,L100,TP100,2
409,S10316,T1000,78.96,L100,TP100,2
410,S10317,T1000,31.86,L100,TP100,2
411,S10026,T1008,11.97,L100,TP105,2
412,S10318,T1000,31.89,L100,TP100,2
413,S10319,T1037,171.0,L100,TP126,2
414,S10320,T1002,224.0,L100,TP102,2
415,S10073,T1058,34.03,L108,TP115,0
416,S10073,T1058,34.07,L108,TP115,0
417,S10321,T1023,0.0,L100,TP120,2
418,S10322,T1003,1138.46,L100,TP100,2
419,S10323,T1000,7.45,L100,TP100,2
420,S10324,T1008,11.99,L100,TP105,2
421,S10325,T1000,19.57,L100,TP100,2
422,S10326,T1003,50.82,L100,TP100,2
423,S10327,T1000,7.9,L100,TP100,2
424,S10147,T1019,18.27,L107,TP108,0
425,S10328,T1000,90.69,L100,TP100,2
426,S10329,T1037,0.0,L100,TP126,2
427,S10330,T1003,28.71,L100,TP100,2
428,S10330,T1003,28.73,L100,TP100,2
429,S10073,T1059,1297.94,L121,TP126,0
430,S10073,T1060,5.0,L102,TP128,0
431,S10073,T1060,1.0,L102,TP128,0
432,S10073,T1060,58.0,L102,TP128,1
433,S10073,T1060,50.0,L102,TP128,0
434,S10331,T1023,1.0,L100,TP120,2
435,S10332,T1003,51.0,L100,TP100,2
436,S10333,T1000,16.45,L100,TP100,2
437,S10334,T1061,35.6,L100,TP116,2
438,S10066,T1000,9.2,L100,TP100,2
439,S10335,T1003,39.21,L100,TP100,2
440,S10336,T1003,493.0,L100,TP100,2
441,S10337,T1000,51.13,L100,TP100,2
442,S10338,T1000,0.5,L100,TP100,2
443,S10339,T1003,248.55,L100,TP100,2
444,S10340,T1013,19.83,L102,TP108,2
445,S10341,T1012,32.1,L105,TP106,2
446,S10342,T1004,151.98,L102,TP133,2
447,S10249,T1062,16.38,L105,TP106,0
448,S10249,T1062,16.37,L105,TP106,0
449,S10343,T1000,218.95,L100,TP100,2
450,S10344,T1003,16.13,L100,TP100,2
451,S10206,T1063,5.47,L122,TP134,0
452,S10249,T1062,14.36,L105,TP106,0
453,S10249,T1062,14.34,L105,TP106,0
454,S10249,T1062,14.36,L105,TP106,0
455,S10249,T1062,14.39,L105,TP106,0
456,S10345,T1000,157.42,L100,TP100,2
457,S10346,T1012,6.02,L105,TP106,2
458,S10140,T1000,12.08,L100,TP100,0
459,S10140,T1000,12.04,L100,TP100,1
460,S10249,T1062,5.51,L105,TP106,0
461,S10249,T1062,5.5,L105,TP106,0
462,S10347,T1023,9.0,L100,TP120,0
463,S10144,T1011,15.19,L102,TP108,0
464,S10144,T1011,15.1,L102,TP108,0
465,S10024,T1003,29.18,L100,TP100,2
466,S10073,T1064,3.0,L102,TP110,0
467,S10073,T1064,1.0,L102,TP110,0
468,S10073,T1064,248.89,L102,TP110,0
469,S10073,T1064,248.87,L102,TP110,1
470,S10348,T1000,38.62,L100,TP100,2
471,S10349,T1011,39.77,L102,TP108,2
472,S10350,T1000,39.88,L100,TP100,2
473,S10206,T1013,11.0,L102,TP108,0
474,S10206,T1013,14.05,L102,TP108,0
475,S10351,T1000,13.49,L112,TP100,2
476,S10352,T1003,4.53,L112,TP100,2
477,S10353,T1000,45.8,L112,TP100,2
478,S10354,T1000,25.95,L112,TP100,2
479,S10355,T1000,7.97,L112,TP100,2
480,S10149,T1003,6.0,L112,TP100,2
481,S10149,T1003,3.0,L112,TP100,2
482,S10356,T1000,14.1,L112,TP100,2
483,S10150,T1003,5.0,L112,TP100,2
484,S10150,T1003,0.0,L112,TP100,2
485,S10150,T1003,4.0,L112,TP100,2
486,S10150,T1003,3.0,L112,TP100,2
487,S10357,T1003,80.0,L100,TP100,2
488,S10147,T1065,8.23,L112,TP135,0
489,S10358,T1000,1.13,L112,TP100,2
490,S10359,T1000,5.13,L112,TP100,2
491,S10360,T1003,0.73,L112,TP100,2
492,S10073,T1058,34.06,L108,TP115,0
493,S10361,T1061,143.0,L100,TP116,0
494,S10361,T1061,142.0,L100,TP116,1
495,S10362,T1000,55.53,L100,TP100,2
496,S10363,T1037,140.0,L100,TP126,2
497,S10364,T1000,8.8,L100,TP100,2
498,S10365,T1003,84.35,L100,TP100,2
499,S10013,T1000,42.03,L100,TP100,2
500,S10366,T1066,283.98,L110,TP116,2
501,S10206,T1019,14.98,L107,TP108,0
502,S10206,T1019,14.99,L107,TP108,0
503,S10367,T1000,5.9,L100,TP100,2
504,S10368,T1000,21.96,L100,TP100,2
505,S10369,T1003,1598.04,L100,TP100,2
506,S10370,T1036,5.0,L102,TP125,2
507,S10371,T1034,429.93,L110,TP120,2
508,S10372,T1003,214.0,L100,TP100,2
509,S10373,T1045,76.15,L106,TP108,2
510,S10374,T1013,15.6,L102,TP108,2
511,S10375,T1045,35.14,L106,TP108,2
512,S10376,T1037,80.0,L100,TP126,2
513,S10377,T1045,129.0,L106,TP108,2
514,S10378,T1034,22.76,L110,TP120,2
515,S10347,T1067,139.5,L102,TP123,1
516,S10347,T1067,139.5,L102,TP123,0
517,S10379,T1004,7.0,L102,TP116,2
518,S10380,T1013,15.86,L102,TP108,2
519,S10381,T1045,5.9,L106,TP108,2
520,S10064,T1013,8.0,L102,TP108,0
521,S10064,T1013,26.0,L102,TP108,0
522,S10064,T1013,23.0,L102,TP108,0
523,S10064,T1013,20.0,L102,TP108,0
524,S10382,T1053,800.0,L106,TP125,2
525,S10383,T1004,48.91,L102,TP114,2
526,S10185,T1019,9.0,L107,TP108,2
527,S10063,T1038,2.9,L102,TP125,0
528,S10262,T1000,612.66,L100,TP100,2
529,S10384,T1013,11.14,L102,TP108,2
530,S10385,T1013,11.57,L102,TP108,0
531,S10063,T1038,20.58,L102,TP125,0
532,S10386,T1002,51.0,L100,TP102,2
533,S10387,T1000,14.9,L100,TP100,2
534,S10064,T1013,20.02,L102,TP108,0
535,S10063,T1038,107.31,L102,TP125,0
536,S10063,T1038,119.96,L102,TP125,0
537,S10388,T1003,6.3,L100,TP100,2
538,S10389,T1013,0.57,L102,TP108,2
539,S10063,T1018,19.46,L102,TP113,0
540,S10062,T1013,35.13,L102,TP108,2
541,S10390,T1013,24.77,L102,TP108,2
542,S10391,T1000,298.5,L100,TP100,2
543,S10392,T1003,85.0,L100,TP100,2
544,S10393,T1061,340.1,L100,TP116,2
545,S10011,T1002,50.0,L100,TP102,2
546,S10015,T1003,58.87,L100,TP100,2
547,S10394,T1000,50.91,L100,TP100,2
548,S10395,T1045,24.34,L106,TP108,2
549,S10022,T1006,2800.0,L103,TP104,0
550,S10396,T1002,55.0,L100,TP102,2
551,S10397,T1003,96.97,L100,TP100,2
552,S10398,T1003,87.91,L100,TP100,2
553,S10030,T1002,54.0,L100,TP102,2
554,S10043,T1011,600.0,L102,TP108,0
555,S10064,T1013,6.0,L102,TP108,0
556,S10064,T1013,8.0,L102,TP108,0
557,S10399,T1068,4.0,L100,TP107,2
558,S10064,T1013,4.0,L102,TP108,0
559,S10064,T1013,8.0,L102,TP108,0
560,S10400,T1000,18.98,L100,TP100,2
561,S10401,T1013,10.28,L102,TP108,2
562,S10043,T1019,3.0,L107,TP108,0
563,S10402,T1003,17.43,L100,TP100,2
564,S10403,T1000,25.62,L100,TP100,2
565,S10168,T1002,50.0,L100,TP102,2
566,S10404,T1013,17.36,L102,TP108,2
567,S10043,T1019,8.0,L107,TP108,0
568,S10405,T1013,8.35,L102,TP108,2
569,S10010,T1000,32.2,L100,TP100,2
570,S10406,T1000,20.0,L100,TP100,2
571,S10043,T1011,700.0,L102,TP108,0
572,S10407,T1000,141.96,L100,TP100,2
573,S10408,T1019,15.53,L107,TP108,2
574,S10409,T1008,11.93,L100,TP105,2
575,S10063,T1038,25.63,L102,TP125,0
576,S10410,T1003,68.2,L100,TP100,2
577,S10385,T1013,31.17,L102,TP108,0
578,S10411,T1013,15.6,L102,TP108,2
579,S10412,T1046,3.0,L106,TP108,2
580,S10413,T1013,12.58,L102,TP108,2
581,S10414,T1038,0.56,L102,TP125,2
582,S10415,T1000,25.77,L100,TP100,2
583,S10416,T1000,724.56,L100,TP100,2
584,S10417,T1053,30.5,L106,TP125,2
585,S10418,T1044,27.81,L106,TP108,2
586,S10070,T1003,14.22,L100,TP100,0
587,S10419,T1004,188.0,L102,TP136,2
588,S10420,T1004,60.0,L102,TP129,2
589,S10064,T1013,23.11,L102,TP108,0
590,S10064,T1013,23.11,L102,TP108,0
591,S10073,T1021,4.93,L123,TP117,0
592,S10073,T1021,4.99,L123,TP117,0
593,S10073,T1021,27.73,L123,TP117,0
594,S10073,T1021,4.97,L123,TP117,0
595,S10073,T1021,4.91,L123,TP117,0
596,S10073,T1021,27.79,L123,TP117,0
597,S10421,T1003,45.08,L100,TP100,2
598,S10422,T1000,41.32,L100,TP100,2
599,S10423,T1000,33.96,L100,TP100,2
600,S10424,T1003,17.43,L100,TP100,2
601,S10425,T1000,20.83,L100,TP100,2
602,S10426,T1000,30.2,L100,TP100,2
603,S10427,T1000,251.92,L100,TP100,2
604,S10428,T1003,30.26,L100,TP100,2
605,S10073,T1069,83.48,L124,TP117,0
